7.3569 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
10.6318 	EXP 	grating_S1_T5: phase = 0.0
10.6484 	EXP 	grating_S1_T5: phase = 0.0
10.6647 	EXP 	grating_S1_T5: phase = 0.0
10.6821 	EXP 	grating_S1_T5: phase = 0.0
10.6984 	EXP 	grating_S1_T5: phase = 0.0
10.7152 	EXP 	grating_S1_T5: phase = 0.0
10.7321 	EXP 	grating_S1_T5: phase = 0.0
10.7484 	EXP 	grating_S1_T5: phase = 0.0
10.7652 	EXP 	grating_S1_T5: phase = 0.0
10.7818 	EXP 	grating_S1_T5: phase = 0.0
10.7985 	EXP 	grating_S1_T5: phase = 0.0
10.8164 	EXP 	grating_S1_T5: phase = 0.0
10.8320 	EXP 	grating_S1_T5: phase = 0.5
10.8486 	EXP 	grating_S1_T5: phase = 0.5
10.8654 	EXP 	grating_S1_T5: phase = 0.5
10.8820 	EXP 	grating_S1_T5: phase = 0.5
10.8986 	EXP 	grating_S1_T5: phase = 0.5
10.9155 	EXP 	grating_S1_T5: phase = 0.5
10.9320 	EXP 	grating_S1_T5: phase = 0.5
10.9487 	EXP 	grating_S1_T5: phase = 0.5
10.9652 	EXP 	grating_S1_T5: phase = 0.5
10.9820 	EXP 	grating_S1_T5: phase = 0.5
10.9987 	EXP 	grating_S1_T5: phase = 0.5
11.0153 	EXP 	grating_S1_T5: phase = 0.5
11.0314 	EXP 	grating_S1_T5: phase = 0.5
11.0481 	EXP 	grating_S1_T5: phase = 0.5
11.0648 	EXP 	grating_S1_T5: phase = 0.5
11.0821 	EXP 	grating_S1_T5: phase = 0.5
11.0987 	EXP 	grating_S1_T5: phase = 0.5
11.1150 	EXP 	grating_S1_T5: phase = 0.5
11.1328 	EXP 	grating_S1_T5: phase = 0.5
11.1487 	EXP 	grating_S1_T5: phase = 0.5
11.1652 	EXP 	grating_S1_T5: phase = 0.5
11.1818 	EXP 	grating_S1_T5: phase = 0.5
11.1985 	EXP 	grating_S1_T5: phase = 0.5
11.2154 	EXP 	grating_S1_T5: phase = 0.5
11.2319 	EXP 	grating_S1_T5: phase = 0.5
11.2481 	EXP 	grating_S1_T5: phase = 0.5
11.2761 	EXP 	grating_S1_T5: phase = 0.5
11.2985 	EXP 	grating_S1_T5: phase = 0.5
11.3149 	EXP 	grating_S1_T5: phase = 0.5
11.3314 	EXP 	grating_S1_T5: phase = 0.0
11.3486 	EXP 	grating_S1_T5: phase = 0.0
11.3654 	EXP 	grating_S1_T5: phase = 0.0
11.3813 	EXP 	grating_S1_T5: phase = 0.0
11.3989 	EXP 	grating_S1_T5: phase = 0.0
11.4154 	EXP 	grating_S1_T5: phase = 0.0
11.4314 	EXP 	grating_S1_T5: phase = 0.0
11.4492 	EXP 	grating_S1_T5: phase = 0.0
11.4646 	EXP 	grating_S1_T5: phase = 0.0
11.4815 	EXP 	grating_S1_T5: phase = 0.0
11.4982 	EXP 	grating_S1_T5: phase = 0.0
11.5153 	EXP 	grating_S1_T5: phase = 0.0
11.5320 	EXP 	grating_S1_T5: phase = 0.0
11.5481 	EXP 	grating_S1_T5: phase = 0.0
11.5653 	EXP 	grating_S1_T5: phase = 0.0
11.5819 	EXP 	grating_S1_T5: phase = 0.0
11.5990 	EXP 	grating_S1_T5: phase = 0.0
11.6147 	EXP 	grating_S1_T5: phase = 0.0
11.6320 	EXP 	grating_S1_T5: phase = 0.0
11.6483 	EXP 	grating_S1_T5: phase = 0.0
11.6658 	EXP 	grating_S1_T5: phase = 0.0
11.6816 	EXP 	grating_S1_T5: phase = 0.0
11.6986 	EXP 	grating_S1_T5: phase = 0.0
11.7148 	EXP 	grating_S1_T5: phase = 0.0
11.7319 	EXP 	grating_S1_T5: phase = 0.0
11.7491 	EXP 	grating_S1_T5: phase = 0.0
11.7657 	EXP 	grating_S1_T5: phase = 0.0
11.7823 	EXP 	grating_S1_T5: phase = 0.0
11.7987 	EXP 	grating_S1_T5: phase = 0.0
11.8147 	EXP 	grating_S1_T5: phase = 0.0
11.8314 	EXP 	grating_S1_T5: phase = 0.5
11.8482 	EXP 	grating_S1_T5: phase = 0.5
11.8658 	EXP 	grating_S1_T5: phase = 0.5
11.8815 	EXP 	grating_S1_T5: phase = 0.5
11.8988 	EXP 	grating_S1_T5: phase = 0.5
11.9151 	EXP 	grating_S1_T5: phase = 0.5
11.9316 	EXP 	grating_S1_T5: phase = 0.5
11.9484 	EXP 	grating_S1_T5: phase = 0.5
11.9653 	EXP 	grating_S1_T5: phase = 0.5
11.9821 	EXP 	grating_S1_T5: phase = 0.5
11.9984 	EXP 	grating_S1_T5: phase = 0.5
12.0150 	EXP 	grating_S1_T5: phase = 0.5
12.0316 	EXP 	grating_S1_T5: phase = 0.5
12.0484 	EXP 	grating_S1_T5: phase = 0.5
12.0656 	EXP 	grating_S1_T5: phase = 0.5
12.0841 	EXP 	grating_S1_T5: phase = 0.5
12.0987 	EXP 	grating_S1_T5: phase = 0.5
12.1156 	EXP 	grating_S1_T5: phase = 0.5
12.1322 	EXP 	grating_S1_T5: phase = 0.5
12.1488 	EXP 	grating_S1_T5: phase = 0.5
12.1647 	EXP 	grating_S1_T5: phase = 0.5
12.1952 	EXP 	grating_S1_T5: phase = 0.5
12.2133 	EXP 	grating_S1_T5: phase = 0.5
12.2322 	EXP 	grating_S1_T5: phase = 0.5
12.2485 	EXP 	grating_S1_T5: phase = 0.5
12.2648 	EXP 	grating_S1_T5: phase = 0.5
12.2818 	EXP 	grating_S1_T5: phase = 0.5
12.2981 	EXP 	grating_S1_T5: phase = 0.5
12.3151 	EXP 	grating_S1_T5: phase = 0.5
12.3317 	EXP 	grating_S1_T5: phase = 0.0
12.3482 	EXP 	grating_S1_T5: phase = 0.0
12.3651 	EXP 	grating_S1_T5: phase = 0.0
12.3820 	EXP 	grating_S1_T5: phase = 0.0
12.3983 	EXP 	grating_S1_T5: phase = 0.0
12.4156 	EXP 	grating_S1_T5: phase = 0.0
12.4314 	EXP 	grating_S1_T5: phase = 0.0
12.4486 	EXP 	grating_S1_T5: phase = 0.0
12.4805 	EXP 	grating_S1_T5: phase = 0.0
12.4984 	EXP 	grating_S1_T5: phase = 0.0
12.5155 	EXP 	grating_S1_T5: phase = 0.0
12.5308 	EXP 	grating_S1_T5: phase = 0.0
12.5488 	EXP 	grating_S1_T5: phase = 0.0
12.5641 	EXP 	grating_S1_T5: phase = 0.0
12.5821 	EXP 	grating_S1_T5: phase = 0.0
12.5983 	EXP 	grating_S1_T5: phase = 0.0
12.6152 	EXP 	grating_S1_T5: phase = 0.0
12.6306 	EXP 	grating_S1_T5: phase = 0.0
12.6490 	EXP 	grating_S1_T5: phase = 0.0
12.6644 	EXP 	grating_S1_T5: phase = 0.0
12.6824 	EXP 	grating_S1_T5: phase = 0.0
12.6981 	EXP 	grating_S1_T5: phase = 0.0
12.7159 	EXP 	grating_S1_T5: phase = 0.0
12.7328 	EXP 	grating_S1_T5: phase = 0.0
12.7493 	EXP 	grating_S1_T5: phase = 0.0
12.7645 	EXP 	grating_S1_T5: phase = 0.0
12.7814 	EXP 	grating_S1_T5: phase = 0.0
12.7978 	EXP 	grating_S1_T5: phase = 0.0
12.8148 	EXP 	grating_S1_T5: phase = 0.0
12.8317 	EXP 	grating_S1_T5: phase = 0.5
12.8478 	EXP 	grating_S1_T5: phase = 0.5
12.8650 	EXP 	grating_S1_T5: phase = 0.5
12.8816 	EXP 	grating_S1_T5: phase = 0.5
12.8985 	EXP 	grating_S1_T5: phase = 0.5
12.9156 	EXP 	grating_S1_T5: phase = 0.5
12.9318 	EXP 	grating_S1_T5: phase = 0.5
12.9487 	EXP 	grating_S1_T5: phase = 0.5
12.9649 	EXP 	grating_S1_T5: phase = 0.5
12.9820 	EXP 	grating_S1_T5: phase = 0.5
12.9989 	EXP 	grating_S1_T5: phase = 0.5
13.0155 	EXP 	grating_S1_T5: phase = 0.5
13.0322 	EXP 	grating_S1_T5: phase = 0.5
13.0499 	EXP 	grating_S1_T5: phase = 0.5
13.0652 	EXP 	grating_S1_T5: phase = 0.5
13.0822 	EXP 	grating_S1_T5: phase = 0.5
13.0990 	EXP 	grating_S1_T5: phase = 0.5
13.1156 	EXP 	grating_S1_T5: phase = 0.5
13.1325 	EXP 	grating_S1_T5: phase = 0.5
13.1493 	EXP 	grating_S1_T5: phase = 0.5
13.1654 	EXP 	grating_S1_T5: phase = 0.5
13.1823 	EXP 	grating_S1_T5: phase = 0.5
13.1993 	EXP 	grating_S1_T5: phase = 0.5
13.2155 	EXP 	grating_S1_T5: phase = 0.5
13.2325 	EXP 	grating_S1_T5: phase = 0.5
13.2489 	EXP 	grating_S1_T5: phase = 0.5
13.2659 	EXP 	grating_S1_T5: phase = 0.5
13.2824 	EXP 	grating_S1_T5: phase = 0.5
13.2984 	EXP 	grating_S1_T5: phase = 0.5
13.3157 	EXP 	grating_S1_T5: phase = 0.5
13.3318 	EXP 	grating_S1_T5: phase = 0.0
13.3490 	EXP 	grating_S1_T5: phase = 0.0
13.3672 	EXP 	grating_S1_T5: phase = 0.0
13.3823 	EXP 	grating_S1_T5: phase = 0.0
13.3991 	EXP 	grating_S1_T5: phase = 0.0
13.4153 	EXP 	grating_S1_T5: phase = 0.0
13.4323 	EXP 	grating_S1_T5: phase = 0.0
13.4488 	EXP 	grating_S1_T5: phase = 0.0
13.4656 	EXP 	grating_S1_T5: phase = 0.0
13.4820 	EXP 	grating_S1_T5: phase = 0.0
13.4989 	EXP 	grating_S1_T5: phase = 0.0
13.5157 	EXP 	grating_S1_T5: phase = 0.0
13.5324 	EXP 	grating_S1_T5: phase = 0.0
13.5490 	EXP 	grating_S1_T5: phase = 0.0
13.5659 	EXP 	grating_S1_T5: phase = 0.0
13.5818 	EXP 	grating_S1_T5: phase = 0.0
13.5990 	EXP 	grating_S1_T5: phase = 0.0
13.6159 	EXP 	grating_S1_T5: phase = 0.0
13.6328 	EXP 	grating_S1_T5: phase = 0.0
13.6491 	EXP 	grating_S1_T5: phase = 0.0
13.6660 	EXP 	grating_S1_T5: phase = 0.0
13.6852 	EXP 	grating_S1_T5: phase = 0.0
13.6983 	EXP 	grating_S1_T5: phase = 0.0
13.7156 	EXP 	grating_S1_T5: phase = 0.0
13.7328 	EXP 	grating_S1_T5: phase = 0.0
13.7491 	EXP 	grating_S1_T5: phase = 0.0
13.7651 	EXP 	grating_S1_T5: phase = 0.0
13.7834 	EXP 	grating_S1_T5: phase = 0.0
13.7985 	EXP 	grating_S1_T5: phase = 0.0
13.8161 	EXP 	grating_S1_T5: phase = 0.0
